'Description','Type / Format','Last Updated','File Name','Comments','Length','Values','Dataset Name','Dataset Description','Example','Name',
'NULL','VARCHAR2','2013-05-07 00:54:46','ACTION_CODE_17834','NULL','75','NULL','BU50T1_DT_CONTRACT_CYCLES','stores contract cycle information.','NULL','ACTION_CODE',
'not used','DATE','2013-05-07 00:53:48','ACTION_CODE_DT_15566','NULL','7','NULL','BU25T1_EMPLOYEES','Employee information for budget process.','NULL','ACTION_CODE_DT',
'indicates new hire','VARCHAR2','2013-05-07 00:53:49','ACTION_TYPE_15700','NULL','1','NULL','BU25T1_EMP_HOLD','A list of all personnel changes from CHIPPS (HR) during the budget process. ie resignations','NULL','ACTION_TYPE',
'NULL','TIMESTAMP(6)','2013-09-27 09:19:44','ACTIVATIONDATE_20469','NULL','11','date','FILER','Attributes associated with financial interest filers','NULL','ACTIVATIONDATE',
'internally assigned unique identifier','TIMESTAMP(6)','2013-09-27 09:19:44','ACTIVATIONDATE_20496','NULL','11','NULL','FILER_20120524','back up filer table no longer used','NULL','ACTIVATIONDATE',
'when did the filer get activated in system','TIMESTAMP(6)','2013-09-27 09:19:45','ACTIVATIONDATE_20523','NULL','11','NULL','FILER_BKP_20120329','back up filer table no longer used','NULL','ACTIVATIONDATE',
'Y/N','VARCHAR2','2013-05-07 00:53:49','ACTIVE_15929','NULL','1',''N'','BU25T1_FAVORITE_REPORTS','List of user designated favorite reports','NULL','ACTIVE',
'Y - authorized user','VARCHAR2','2013-05-07 00:53:51','ACTIVE_16489','NULL','1',''Y'','BU25T1_USER_ACCESS','List of CBS users','NULL','ACTIVE',
'yes (y) or No (n) if filer is active','VARCHAR2','2013-09-27 09:19:44','ACTIVEFLAG_20470','NULL','1','NULL','FILER','Attributes associated with financial interest filers','NULL','ACTIVEFLAG',
'yes or no - fi the person is acvite','VARCHAR2','2013-09-27 09:19:44','ACTIVEFLAG_20497','NULL','1','NULL','FILER_20120524','back up filer table no longer used','NULL','ACTIVEFLAG',
'yes (y) or No (n) if filer is active','VARCHAR2','2013-09-27 09:19:45','ACTIVEFLAG_20524','NULL','1','NULL','FILER_BKP_20120329','back up filer table no longer used','NULL','ACTIVEFLAG',
'activity to be performed by the delegate','CLOB','2013-05-07 00:54:19','ACTIVITIES_17375','NULL','4000','NULL','WORK_PROGRAM','Performance measures for applicants','NULL','ACTIVITIES',
'NULL','VARCHAR2','2013-05-07 00:54:46','ACTIVITY_17933','NULL','4','NULL','BU50T1_FMPS_EXPENDITURE_DETAIL','Table not used.','NULL','ACTIVITY',
'NULL','VARCHAR2','2013-05-07 00:54:46','ACTIVITY_17956','NULL','4',''0000'','BU50T1_FMPS_FUNDING_STRIPS','Contains funding strip information recieved from FMPS.','NULL','ACTIVITY',
'NULL','VARCHAR2','2013-05-07 00:54:47','ACTIVITY_18112','NULL','4','NULL','BU50T1_PRJ_FND_STRPS_ORIG_LOAD','Table contains no data.','NULL','ACTIVITY',
'NULL','VARCHAR2','2013-05-07 00:54:48','ACTIVITY_18522','NULL','4','NULL','BU50T1_PROJ_FUNDING_STRIPS','FMPS funding strips currently associated to a CPM project.','NULL','ACTIVITY',
'Activity','Text','2013-05-07 01:04:18','Activity_20283','NULL','255','NOT NULL','tblSeniorParticipationItems','Maintain information on senior activities/categories.','NULL','Activity',
'Current payrate','VARCHAR2','2013-05-07 00:53:48','ACTUAL_15434','NULL','10','NULL','BU25T1_CHIPPS_STARTUP_EMP','Snapshot of current employee information from CHIPPS system (HR) for creating employee and positions at budget startup.','NULL','ACTUAL',
'payrate','NUMBER','2013-05-07 00:53:48','ACTUAL_15457','NULL','22','NULL','BU25T1_CHIPPS_STARTUP_OVERFILL','Snapshot of current Police and Fire dept titles from CHIPPS system (HR) with more positions than budgeted for budget start up.','NULL','ACTUAL',
'actual payrate','VARCHAR2','2013-05-07 00:53:48','ACTUAL_15470','NULL','10','NULL','BU25T1_CHIPPS_STARTUP_POS','Snapshot of current vacant positions from CHIPPS system (HR) for budget startup process','NULL','ACTUAL',
'x= (no addr) w/ward','VARCHAR2','2013-05-07 00:54:44','ACTUAL_ADDR_IND_17399','NULL','1','NULL','BU50T1_ADDRESSES','X coordinate low-state plane coordinates','NULL','ACTUAL_ADDR_IND',
'NULL','NUMBER','2013-05-07 00:54:44','ACTUAL_COST_17438','NULL','22','NULL','BU50T1_ADDRESSES_TEMP','Address information stored as part of batch geocoding.','NULL','ACTUAL_COST',
'NULL','NUMBER','2013-05-07 00:54:44','ACTUAL_COST_17463','NULL','22','-1','BU50T1_ADDRESS_WORK_TYPES','work types associated to the address table','NULL','ACTUAL_COST',
'NULL','NUMBER','2013-05-07 00:54:44','ACTUAL_COST_17476','NULL','22','NULL','BU50T1_ADDRESS_WORK_TYPE_JN','Contains all the work type information for a CPM number.','NULL','ACTUAL_COST',
'NULL','NUMBER','2013-05-07 00:54:47','ACTUAL_COST_18073','NULL','22','NULL','BU50T1_MENU_ADDR_WORK_TYPES_JN','This table contains all the records (menu address_work_types) that we load into cpm from the menu spreadsheets that BOE and CDOT send to us.  Note that the addresses_temp table only contains the data from the current spreadsheet.','NULL','ACTUAL_COST',
'B?','VARCHAR2','2013-05-07 00:54:45','ACTUAL_COST_REQ_17691','NULL','1','NULL','BU50T1_CIP_WORK_TYPES','Legacy CIP system work types','NULL','ACTUAL_COST_REQ',
'NULL','DATE','2013-05-07 00:54:46','ACTUAL_DATE_17833','NULL','7','NULL','BU50T1_DT_CONTRACT_CYCLES','stores contract cycle information.','NULL','ACTUAL_DATE',
'NULL','DATE','2013-05-07 00:54:44','ACTUAL_END_DT_17437','NULL','7','NULL','BU50T1_ADDRESSES_TEMP','Address information stored as part of batch geocoding.','NULL','ACTUAL_END_DT',
'NULL','DATE','2013-05-07 00:54:44','ACTUAL_END_DT_17462','NULL','7','NULL','BU50T1_ADDRESS_WORK_TYPES','work types associated to the address table','NULL','ACTUAL_END_DT',
'NULL','DATE','2013-05-07 00:54:44','ACTUAL_END_DT_17475','NULL','7','NULL','BU50T1_ADDRESS_WORK_TYPE_JN','Contains all the work type information for a CPM number.','NULL','ACTUAL_END_DT',
'NULL','DATE','2013-05-07 00:54:47','ACTUAL_END_DT_18072','NULL','7','NULL','BU50T1_MENU_ADDR_WORK_TYPES_JN','This table contains all the records (menu address_work_types) that we load into cpm from the menu spreadsheets that BOE and CDOT send to us.  Note that the addresses_temp table only contains the data from the current spreadsheet.','NULL','ACTUAL_END_DT',
'NULL','DATE','2013-05-07 00:54:44','ACTUAL_START_DT_17436','NULL','7','NULL','BU50T1_ADDRESSES_TEMP','Address information stored as part of batch geocoding.','NULL','ACTUAL_START_DT',
'NULL','DATE','2013-05-07 00:54:44','ACTUAL_START_DT_17461','NULL','7','NULL','BU50T1_ADDRESS_WORK_TYPES','work types associated to the address table','NULL','ACTUAL_START_DT',
'NULL','DATE','2013-05-07 00:54:44','ACTUAL_START_DT_17474','NULL','7','NULL','BU50T1_ADDRESS_WORK_TYPE_JN','Contains all the work type information for a CPM number.','NULL','ACTUAL_START_DT',
'NULL','DATE','2013-05-07 00:54:47','ACTUAL_START_DT_18071','NULL','7','NULL','BU50T1_MENU_ADDR_WORK_TYPES_JN','This table contains all the records (menu address_work_types) that we load into cpm from the menu spreadsheets that BOE and CDOT send to us.  Note that the addresses_temp table only contains the data from the current spreadsheet.','NULL','ACTUAL_START_DT',
'NULL','VARCHAR2','2013-05-07 00:53:49','ACT_FLAG_15746','NULL','1','NULL','BU25T1_EMP_HOLD_TEMP','A daily list of all personnel changes from CHIPPS (HR) during the budget process. ie resignations','NULL','ACT_FLAG',
'Actual length for the address','NUMBER','2013-05-07 00:54:44','ACT_LENGTH_17397','NULL','22','NULL','BU50T1_ADDRESSES','X coordinate low-state plane coordinates','NULL','ACT_LENGTH',
'ADA requests','text box','2013-09-26 14:44:41','ADA requests_20438','NULL','NULL','NULL','Adult Services Programs','contains information about upcoming and past programs','wheelchair','ADA requests',
'Not implemented','VARCHAR2','2013-05-07 00:54:18','ADDENDUM_END_ACTION_17285','NULL','50','NULL','PROGRAM','List of CDGA programs','NULL','ADDENDUM_END_ACTION',
'Not implemented','VARCHAR2','2013-05-07 00:54:18','ADDENDUM_START_ACTION_17284','NULL','50','NULL','PROGRAM','List of CDGA programs','NULL','ADDENDUM_START_ACTION',
'Room or suite number','VARCHAR2','2013-05-07 00:54:16','ADDL_MAILING_INFO_16676','NULL','250','NULL','ADDRESS','Delegate addresses','NULL','ADDL_MAILING_INFO',
'Foreign key to ADDRESS.ID','NUMBER','2013-05-07 00:54:18','ADDRESS_17296','NULL','22','NULL','SERVICE_AREA','Applicant address that will provide services for this program','NULL','ADDRESS',
'Address of the ward office','VARCHAR2','2013-05-07 00:54:19','ADDRESS_17372','NULL','250','NULL','WARD_OFFICE','List of aldermanic ward offices','NULL','ADDRESS',
'Direction and Street Name','VARCHAR2','2013-05-07 00:54:44','ADDRESS_17393','NULL','120','NULL','BU50T1_ADDRESSES','X coordinate low-state plane coordinates','NULL','ADDRESS',
'Dir and Street Name','VARCHAR2','2013-05-07 00:54:44','ADDRESS_17424','NULL','120','NULL','BU50T1_ADDRESSES_TEMP','Address information stored as part of batch geocoding.','NULL','ADDRESS',
'Dir and Street Name','VARCHAR2','2013-05-07 00:54:45','ADDRESS_17487','NULL','120','NULL','BU50T1_ADDRESS_WORK_TYPE_JN','Contains all the work type information for a CPM number.','NULL','ADDRESS',
'Dir and Street Name','VARCHAR2','2013-05-07 00:54:46','ADDRESS_17871','NULL','120','NULL','BU50T1_FACILITIES','Contains all CPM facility information.','NULL','ADDRESS',
'Dir and Street Name','VARCHAR2','2013-05-07 00:54:47','ADDRESS_18059','NULL','120','NULL','BU50T1_MENU_ADDR_WORK_TYPES_JN','This table contains all the records (menu address_work_types) that we load into cpm from the menu spreadsheets that BOE and CDOT send to us.  Note that the addresses_temp table only contains the data from the current spreadsheet.','NULL','ADDRESS',
'Client home address','TEXT','2013-05-07 01:04:49','Address_20336','NULL','50','NULL','EPI_PERSON.DBA','Contains demographic information of registered clients','1234 N. Clark St','Address',
'property owner address','VARCHAR2','2013-05-07 00:54:17','ADDRESS1_16949','NULL','100','NULL','DHS_LEASE_INFORMATION','Homelessness program. If applicant leases their facility','NULL','ADDRESS1',
'text field of filer home address','VARCHAR2','2013-09-27 09:19:44','ADDRESS1_20471','NULL','150','NULL','FILER','Attributes associated with financial interest filers','NULL','ADDRESS1',
'home address of filer','VARCHAR2','2013-09-27 09:19:44','ADDRESS1_20498','NULL','150','NULL','FILER_20120524','back up filer table no longer used','NULL','ADDRESS1',
'text field of filer home address','VARCHAR2','2013-09-27 09:19:45','ADDRESS1_20525','NULL','150','NULL','FILER_BKP_20120329','back up filer table no longer used','NULL','ADDRESS1',
'Statement - Address','VARCHAR2','2013-09-27 09:19:45','ADDRESS1_20608','NULL','150','NULL','STATEMENT','data associated with a financial interest statement','NULL','ADDRESS1',
'property owner address 2','VARCHAR2','2013-05-07 00:54:17','ADDRESS2_16950','NULL','100','NULL','DHS_LEASE_INFORMATION','Homelessness program. If applicant leases their facility','NULL','ADDRESS2',
'NULL','VARCHAR2','2013-09-27 09:19:44','ADDRESS2_20472','NULL','150','NULL','FILER','Attributes associated with financial interest filers','NULL','ADDRESS2',
'text field of filer home address','VARCHAR2','2013-09-27 09:19:44','ADDRESS2_20499','NULL','150','NULL','FILER_20120524','back up filer table no longer used','NULL','ADDRESS2',
'text field of filer home address','VARCHAR2','2013-09-27 09:19:45','ADDRESS2_20526','NULL','150','NULL','FILER_BKP_20120329','back up filer table no longer used','NULL','ADDRESS2',
'Statement - Address','VARCHAR2','2013-09-27 09:19:45','ADDRESS2_20609','NULL','150','NULL','STATEMENT','data associated with a financial interest statement','NULL','ADDRESS2',
'NULL','VARCHAR2','2013-09-27 09:19:44','ADDRESS3_20473','NULL','150','NULL','FILER','Attributes associated with financial interest filers','NULL','ADDRESS3',
'City','VARCHAR2','2013-09-27 09:19:44','ADDRESS3_20500','NULL','150','NULL','FILER_20120524','back up filer table no longer used','NULL','ADDRESS3',
'text field of filer home address - city','VARCHAR2','2013-09-27 09:19:45','ADDRESS3_20527','NULL','150','NULL','FILER_BKP_20120329','back up filer table no longer used','NULL','ADDRESS3',
'Statement - Address  - sity','VARCHAR2','2013-09-27 09:19:45','ADDRESS3_20610','NULL','150','NULL','STATEMENT','data associated with a financial interest statement','NULL','ADDRESS3',
'Corporate address or site address','VARCHAR2','2013-05-07 00:54:16','ADDRESS_TYPE_CODE_16678','NULL','4',''SITE'','ADDRESS','Delegate addresses','NULL','ADDRESS_TYPE_CODE',
'used by department to specify a non-cpm project ID','VARCHAR2','2013-05-07 00:54:44','ADDR_DEPT_PROJ_ID_17421','NULL','400','NULL','BU50T1_ADDRESSES','X coordinate low-state plane coordinates','NULL','ADDR_DEPT_PROJ_ID',
'used by department to specify a non-cpm project ID','VARCHAR2','2013-05-07 00:54:44','ADDR_DEPT_PROJ_ID_17442','NULL','400','NULL','BU50T1_ADDRESSES_TEMP','Address information stored as part of batch geocoding.','NULL','ADDR_DEPT_PROJ_ID',
'NULL','VARCHAR2','2013-05-07 00:54:47','ADDR_DEPT_PROJ_ID_18077','NULL','400','NULL','BU50T1_MENU_ADDR_WORK_TYPES_JN','This table contains all the records (menu address_work_types) that we load into cpm from the menu spreadsheets that BOE and CDOT send to us.  Note that the addresses_temp table only contains the data from the current spreadsheet.','NULL','ADDR_DEPT_PROJ_ID',
'I intersection','VARCHAR2','2013-05-07 00:54:44','ADDR_ENTRY_TYPE_17395','NULL','12','NULL','BU50T1_ADDRESSES','X coordinate low-state plane coordinates','NULL','ADDR_ENTRY_TYPE',
'NULL','VARCHAR2','2013-05-07 00:54:45','ADDR_ENTRY_TYPE_17491','NULL','12','NULL','BU50T1_ADDR_BATCH_DELETE','stores addresses to be batch deleted','NULL','ADDR_ENTRY_TYPE',
'compound foreign key to bu50t1_codes','NUMBER','2013-05-07 00:54:44','ADDR_ENTRY_TYPE_CODE_TYPE_17417','NULL','22','131','BU50T1_ADDRESSES','X coordinate low-state plane coordinates','NULL','ADDR_ENTRY_TYPE_CODE_TYPE',
'Application generated Primary key','NUMBER','2013-05-07 00:54:44','ADDR_SEQ_17392','NULL','22','NULL','BU50T1_ADDRESSES','X coordinate low-state plane coordinates','NULL','ADDR_SEQ',
'foreign key to bu50t1_addresses','NUMBER','2013-05-07 00:54:44','ADDR_SEQ_17453','NULL','22','NULL','BU50T1_ADDRESS_WORK_TYPES','work types associated to the address table','NULL','ADDR_SEQ',
'foreign key to bu50t1_addresses','NUMBER','2013-05-07 00:54:45','ADDR_SEQ_17481','NULL','22','NULL','BU50T1_ADDRESS_WORK_TYPE_JN','Contains all the work type information for a CPM number.','NULL','ADDR_SEQ',
'Compound primary key along with PROJ_SEQ','NUMBER','2013-05-07 00:54:45','ADDR_SEQ_17490','NULL','22','NULL','BU50T1_ADDR_BATCH_DELETE','stores addresses to be batch deleted','NULL','ADDR_SEQ',
'foreign key to bu50t1_addresses','NUMBER','2013-05-07 00:54:47','ADDR_SEQ_18028','NULL','22','NULL','BU50T1_GEO_RESULTS','Contains the geocoding results for an address/location.','NULL','ADDR_SEQ',
'Primary key','NUMBER','2013-05-07 00:54:44','ADDR_WORK_TYPE_SEQ_17449','NULL','22','NULL','BU50T1_ADDRESS_WORK_TYPES','work types associated to the address table','NULL','ADDR_WORK_TYPE_SEQ',
'Foreign key to BU50T1_ADDRESS_WORK_TYPES.','NUMBER','2013-05-07 00:54:44','ADDR_WORK_TYPE_SEQ_17468','NULL','22','NULL','BU50T1_ADDRESS_WORK_TYPE_JN','Contains all the work type information for a CPM number.','NULL','ADDR_WORK_TYPE_SEQ',
'Foreign key to the BU50T1_ADDRESS_WORK_TYPES','NUMBER','2013-05-07 00:54:48','ADDR_WORK_TYPE_SEQ_18468','NULL','22','NULL','BU50T1_PROJECT_TASKS','Contains the tasks assigned to a project address.','NULL','ADDR_WORK_TYPE_SEQ',
'NULL','VARCHAR2','2013-05-07 00:54:44','ADDR_WT_DEPT_PROJ_ID_17465','NULL','400','NULL','BU50T1_ADDRESS_WORK_TYPES','work types associated to the address table','NULL','ADDR_WT_DEPT_PROJ_ID',
'NULL','VARCHAR2','2013-05-07 00:54:44','ADDR_WT_DEPT_PROJ_ID_17478','NULL','15','NULL','BU50T1_ADDRESS_WORK_TYPE_JN','Contains all the work type information for a CPM number.','NULL','ADDR_WT_DEPT_PROJ_ID',
'T - Display in table of contents','VARCHAR2','2013-05-07 00:53:46','ADD_TO_TOC_15112','NULL','1',''T'','BOOK_SECTION','Budget Book/Grant Book section','NULL','ADD_TO_TOC',
