Table Description,Table Name,Name,Name clean,Description,Description clean,'Type / Format',Last Updated,Last Updated date,File Name,Comments,Length,Values,Example
Appropriation amounts at the account level during the budget budget process. Child of bu25t1_appr table.,BU25T1_APPR_AMTS,ACCT_REF_CODE,ACCT_REF_CODE,compound foreign key with acct_no to bu25t1_code_objects tables,compound foreign key with acct_no to bu25t1_code_objects tables,VARCHAR2,2013-05-07 00:53:47,2013-05-07T00:53:47Z,ACCT_REF_CODE_15364,NULL,2.0,NULL,NULL
Equipment note subsystem account data with history. Child table of bu25t1_appr.,BU25T1_EQUIP_AMTS,ACCT_REF_CODE,ACCT_REF_CODE,compound foreign key with acct_no to bu25t1_code_objects tables,compound foreign key with acct_no to bu25t1_code_objects tables,VARCHAR2,2013-05-07 00:53:49,2013-05-07T00:53:49Z,ACCT_REF_CODE_15809,NULL,2.0,NULL,NULL
Stores the preliminary yearly budget at the start of the budget cycle.,BU26T1_PRELIM,ACCT_REF_CODE,ACCT_REF_CODE,Compound foreign key to BU26T1_CODE_OBJECTS,Compound foreign key to BU26T1_CODE_OBJECTS,VARCHAR2,2013-05-07 00:53:52,2013-05-07T00:53:52Z,ACCT_REF_CODE_16638,NULL,2.0,NULL,NULL
A library listing City department,BU25T1_CODE_OBJECTS,ACCT_REIMB_DEPT,ACCT_REIMB_DEPT,reimbursable to dept code,reimbursable to dept code,VARCHAR2,2013-05-07 00:53:48,2013-05-07T00:53:48Z,ACCT_REIMB_DEPT_15507,NULL,6.0,NULL,NULL
A library listing City department,BU25T1_CODE_OBJECTS,ACCT_TYPE,ACCT_TYPE,"P - personnel or ""N"" non-personnel acct","P - personnel or ""N"" non-personnel acct",VARCHAR2,2013-05-07 00:53:48,2013-05-07T00:53:48Z,ACCT_TYPE_15499,NULL,1.0,N,NULL
Contains references that are used by the budget system (CBS) for processing and application use.,BU26T1_CODE_OBJECTS,ACCT_TYPE,ACCT_TYPE,"P - personnel or ""N"" non-personnel acct""","P - personnel or ""N"" non-personnel acct""",VARCHAR2,2013-05-07 00:53:52,2013-05-07T00:53:52Z,ACCT_TYPE_16557,NULL,1.0,NULL,NULL
Contains all the work type information for a CPM number.,BU50T1_ADDRESS_WORK_TYPE_JN,ACTION,ACTION,NULL,NULL,VARCHAR2,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ACTION_17467,NULL,15.0,NULL,NULL
Contains all project fund changes.,BU50T1_PROJECT_FUND_JN,ACTION,ACTION,NULL,NULL,VARCHAR2,2013-05-07 00:54:47,2013-05-07T00:54:47Z,ACTION_18248,NULL,15.0,NULL,NULL
Contains all project notes contained in CPM,BU50T1_PROJECT_NOTE_JN,ACTION,ACTION,NULL,NULL,VARCHAR2,2013-05-07 00:54:48,2013-05-07T00:54:48Z,ACTION_18308,NULL,15.0,NULL,NULL
Contains all the CPM project phases for a CPM project.,BU50T1_PROJECT_PHASE_JN,ACTION,ACTION,NULL,NULL,VARCHAR2,2013-05-07 00:54:48,2013-05-07T00:54:48Z,ACTION_18374,NULL,15.0,NULL,NULL
Contains all the task notes for a CPM project.,BU50T1_PROJECT_TASK_NOTE_JN,ACTION,ACTION,NULL,NULL,VARCHAR2,2013-05-07 00:54:48,2013-05-07T00:54:48Z,ACTION_18481,NULL,15.0,NULL,NULL
Employee information for budget process.,BU25T1_EMPLOYEES,ACTION_CODE,ACTION_CODE,not used,not used,VARCHAR2,2013-05-07 00:53:48,2013-05-07T00:53:48Z,ACTION_CODE_15565,NULL,4.0,NULL,NULL
A list of all personnel changes from CHIPPS (HR) during the budget process. ie resignations,BU25T1_EMP_HOLD,ACTION_CODE,ACTION_CODE,not used,not used,VARCHAR2,2013-05-07 00:53:49,2013-05-07T00:53:49Z,ACTION_CODE_15695,NULL,4.0,NULL,NULL
stores contract cycle information.,BU50T1_DT_CONTRACT_CYCLES,ACTION_CODE,ACTION_CODE,NULL,NULL,VARCHAR2,2013-05-07 00:54:46,2013-05-07T00:54:46Z,ACTION_CODE_17834,NULL,75.0,NULL,NULL
Employee information for budget process.,BU25T1_EMPLOYEES,ACTION_CODE_DT,ACTION_CODE_DT,not used,not used,DATE,2013-05-07 00:53:48,2013-05-07T00:53:48Z,ACTION_CODE_DT_15566,NULL,7.0,NULL,NULL
A list of all personnel changes from CHIPPS (HR) during the budget process. ie resignations,BU25T1_EMP_HOLD,ACTION_TYPE,ACTION_TYPE,indicates new hire,indicates new hire,VARCHAR2,2013-05-07 00:53:49,2013-05-07T00:53:49Z,ACTION_TYPE_15700,NULL,1.0,NULL,NULL
Attributes associated with financial interest filers,FILER,ACTIVATIONDATE,ACTIVATIONDATE,NULL,NULL,TIMESTAMP(6),2013-09-27 09:19:44,2013-09-27T09:19:44Z,ACTIVATIONDATE_20469,NULL,11.0,date,NULL
back up filer table no longer used,FILER_20120524,ACTIVATIONDATE,ACTIVATIONDATE,internally assigned unique identifier,internally assigned unique identifier,TIMESTAMP(6),2013-09-27 09:19:44,2013-09-27T09:19:44Z,ACTIVATIONDATE_20496,NULL,11.0,NULL,NULL
back up filer table no longer used,FILER_BKP_20120329,ACTIVATIONDATE,ACTIVATIONDATE,when did the filer get activated in system,when did the filer get activated in system,TIMESTAMP(6),2013-09-27 09:19:45,2013-09-27T09:19:45Z,ACTIVATIONDATE_20523,NULL,11.0,NULL,NULL
List of user designated favorite reports,BU25T1_FAVORITE_REPORTS,ACTIVE,ACTIVE,Y/N,Y/N,VARCHAR2,2013-05-07 00:53:49,2013-05-07T00:53:49Z,ACTIVE_15929,NULL,1.0,N,NULL
List of CBS users,BU25T1_USER_ACCESS,ACTIVE,ACTIVE,Y - authorized user,Y - authorized user,VARCHAR2,2013-05-07 00:53:51,2013-05-07T00:53:51Z,ACTIVE_16489,NULL,1.0,Y,NULL
Attributes associated with financial interest filers,FILER,ACTIVEFLAG,ACTIVEFLAG,yes (y) or No (n) if filer is active,yes (y) or No (n) if filer is active,VARCHAR2,2013-09-27 09:19:44,2013-09-27T09:19:44Z,ACTIVEFLAG_20470,NULL,1.0,NULL,NULL
back up filer table no longer used,FILER_20120524,ACTIVEFLAG,ACTIVEFLAG,yes or no - fi the person is acvite,yes or no - fi the person is acvite,VARCHAR2,2013-09-27 09:19:44,2013-09-27T09:19:44Z,ACTIVEFLAG_20497,NULL,1.0,NULL,NULL
back up filer table no longer used,FILER_BKP_20120329,ACTIVEFLAG,ACTIVEFLAG,yes (y) or No (n) if filer is active,yes (y) or No (n) if filer is active,VARCHAR2,2013-09-27 09:19:45,2013-09-27T09:19:45Z,ACTIVEFLAG_20524,NULL,1.0,NULL,NULL
Performance measures for applicants,WORK_PROGRAM,ACTIVITIES,ACTIVITIES,activity to be performed by the delegate,activity to be performed by the delegate,CLOB,2013-05-07 00:54:19,2013-05-07T00:54:19Z,ACTIVITIES_17375,NULL,4000.0,NULL,NULL
Table not used.,BU50T1_FMPS_EXPENDITURE_DETAIL,ACTIVITY,Activity,NULL,NULL,VARCHAR2,2013-05-07 00:54:46,2013-05-07T00:54:46Z,ACTIVITY_17933,NULL,4.0,NULL,NULL
Contains funding strip information recieved from FMPS.,BU50T1_FMPS_FUNDING_STRIPS,ACTIVITY,Activity,NULL,NULL,VARCHAR2,2013-05-07 00:54:46,2013-05-07T00:54:46Z,ACTIVITY_17956,NULL,4.0,0000,NULL
Table contains no data.,BU50T1_PRJ_FND_STRPS_ORIG_LOAD,ACTIVITY,Activity,NULL,NULL,VARCHAR2,2013-05-07 00:54:47,2013-05-07T00:54:47Z,ACTIVITY_18112,NULL,4.0,NULL,NULL
FMPS funding strips currently associated to a CPM project.,BU50T1_PROJ_FUNDING_STRIPS,ACTIVITY,Activity,NULL,NULL,VARCHAR2,2013-05-07 00:54:48,2013-05-07T00:54:48Z,ACTIVITY_18522,NULL,4.0,NULL,NULL
Maintain information on senior activities/categories.,tblSeniorParticipationItems,Activity,Activity,Activity,Activity,Text,2013-05-07 01:04:18,2013-05-07T01:04:18Z,Activity_20283,NULL,255.0,NOT NULL,NULL
Snapshot of current employee information from CHIPPS system (HR) for creating employee and positions at budget startup.,BU25T1_CHIPPS_STARTUP_EMP,ACTUAL,ACTUAL,Current payrate,Current payrate,VARCHAR2,2013-05-07 00:53:48,2013-05-07T00:53:48Z,ACTUAL_15434,NULL,10.0,NULL,NULL
Snapshot of current Police and Fire dept titles from CHIPPS system (HR) with more positions than budgeted for budget start up.,BU25T1_CHIPPS_STARTUP_OVERFILL,ACTUAL,ACTUAL,payrate,payrate,NUMBER,2013-05-07 00:53:48,2013-05-07T00:53:48Z,ACTUAL_15457,NULL,22.0,NULL,NULL
Snapshot of current vacant positions from CHIPPS system (HR) for budget startup process,BU25T1_CHIPPS_STARTUP_POS,ACTUAL,ACTUAL,actual payrate,actual payrate,VARCHAR2,2013-05-07 00:53:48,2013-05-07T00:53:48Z,ACTUAL_15470,NULL,10.0,NULL,NULL
X coordinate low-state plane coordinates,BU50T1_ADDRESSES,ACTUAL_ADDR_IND,ACTUAL_ADDR_IND,x= (no addr) w/ward,x= (no addr) w/ward,VARCHAR2,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ACTUAL_ADDR_IND_17399,NULL,1.0,NULL,NULL
Address information stored as part of batch geocoding.,BU50T1_ADDRESSES_TEMP,ACTUAL_COST,ACTUAL_COST,NULL,NULL,NUMBER,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ACTUAL_COST_17438,NULL,22.0,NULL,NULL
work types associated to the address table,BU50T1_ADDRESS_WORK_TYPES,ACTUAL_COST,ACTUAL_COST,NULL,NULL,NUMBER,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ACTUAL_COST_17463,NULL,22.0,-1,NULL
Contains all the work type information for a CPM number.,BU50T1_ADDRESS_WORK_TYPE_JN,ACTUAL_COST,ACTUAL_COST,NULL,NULL,NUMBER,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ACTUAL_COST_17476,NULL,22.0,NULL,NULL
This table contains all the records (menu address_work_types) that we load into cpm from the menu spreadsheets that BOE and CDOT send to us.  Note that the addresses_temp table only contains the data from the current spreadsheet.,BU50T1_MENU_ADDR_WORK_TYPES_JN,ACTUAL_COST,ACTUAL_COST,NULL,NULL,NUMBER,2013-05-07 00:54:47,2013-05-07T00:54:47Z,ACTUAL_COST_18073,NULL,22.0,NULL,NULL
Legacy CIP system work types,BU50T1_CIP_WORK_TYPES,ACTUAL_COST_REQ,ACTUAL_COST_REQ,B?,B?,VARCHAR2,2013-05-07 00:54:45,2013-05-07T00:54:45Z,ACTUAL_COST_REQ_17691,NULL,1.0,NULL,NULL
stores contract cycle information.,BU50T1_DT_CONTRACT_CYCLES,ACTUAL_DATE,ACTUAL_DATE,NULL,NULL,DATE,2013-05-07 00:54:46,2013-05-07T00:54:46Z,ACTUAL_DATE_17833,NULL,7.0,NULL,NULL
Address information stored as part of batch geocoding.,BU50T1_ADDRESSES_TEMP,ACTUAL_END_DT,ACTUAL_END_DT,NULL,NULL,DATE,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ACTUAL_END_DT_17437,NULL,7.0,NULL,NULL
work types associated to the address table,BU50T1_ADDRESS_WORK_TYPES,ACTUAL_END_DT,ACTUAL_END_DT,NULL,NULL,DATE,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ACTUAL_END_DT_17462,NULL,7.0,NULL,NULL
Contains all the work type information for a CPM number.,BU50T1_ADDRESS_WORK_TYPE_JN,ACTUAL_END_DT,ACTUAL_END_DT,NULL,NULL,DATE,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ACTUAL_END_DT_17475,NULL,7.0,NULL,NULL
This table contains all the records (menu address_work_types) that we load into cpm from the menu spreadsheets that BOE and CDOT send to us.  Note that the addresses_temp table only contains the data from the current spreadsheet.,BU50T1_MENU_ADDR_WORK_TYPES_JN,ACTUAL_END_DT,ACTUAL_END_DT,NULL,NULL,DATE,2013-05-07 00:54:47,2013-05-07T00:54:47Z,ACTUAL_END_DT_18072,NULL,7.0,NULL,NULL
Address information stored as part of batch geocoding.,BU50T1_ADDRESSES_TEMP,ACTUAL_START_DT,ACTUAL_START_DT,NULL,NULL,DATE,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ACTUAL_START_DT_17436,NULL,7.0,NULL,NULL
work types associated to the address table,BU50T1_ADDRESS_WORK_TYPES,ACTUAL_START_DT,ACTUAL_START_DT,NULL,NULL,DATE,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ACTUAL_START_DT_17461,NULL,7.0,NULL,NULL
Contains all the work type information for a CPM number.,BU50T1_ADDRESS_WORK_TYPE_JN,ACTUAL_START_DT,ACTUAL_START_DT,NULL,NULL,DATE,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ACTUAL_START_DT_17474,NULL,7.0,NULL,NULL
This table contains all the records (menu address_work_types) that we load into cpm from the menu spreadsheets that BOE and CDOT send to us.  Note that the addresses_temp table only contains the data from the current spreadsheet.,BU50T1_MENU_ADDR_WORK_TYPES_JN,ACTUAL_START_DT,ACTUAL_START_DT,NULL,NULL,DATE,2013-05-07 00:54:47,2013-05-07T00:54:47Z,ACTUAL_START_DT_18071,NULL,7.0,NULL,NULL
A daily list of all personnel changes from CHIPPS (HR) during the budget process. ie resignations,BU25T1_EMP_HOLD_TEMP,ACT_FLAG,ACT_FLAG,NULL,NULL,VARCHAR2,2013-05-07 00:53:49,2013-05-07T00:53:49Z,ACT_FLAG_15746,NULL,1.0,NULL,NULL
X coordinate low-state plane coordinates,BU50T1_ADDRESSES,ACT_LENGTH,ACT_LENGTH,Actual length for the address,Actual length for the address,NUMBER,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ACT_LENGTH_17397,NULL,22.0,NULL,NULL
contains information about upcoming and past programs,Adult Services Programs,ADA requests,ADA requests,ADA requests,ADA requests,text box,2013-09-26 14:44:41,2013-09-26T14:44:41Z,ADA requests_20438,NULL,'NULL',NULL,wheelchair
List of CDGA programs,PROGRAM,ADDENDUM_END_ACTION,ADDENDUM_END_ACTION,Not implemented,Not implemented,VARCHAR2,2013-05-07 00:54:18,2013-05-07T00:54:18Z,ADDENDUM_END_ACTION_17285,NULL,50.0,NULL,NULL
List of CDGA programs,PROGRAM,ADDENDUM_START_ACTION,ADDENDUM_START_ACTION,Not implemented,Not implemented,VARCHAR2,2013-05-07 00:54:18,2013-05-07T00:54:18Z,ADDENDUM_START_ACTION_17284,NULL,50.0,NULL,NULL
Delegate addresses,ADDRESS,ADDL_MAILING_INFO,ADDL_MAILING_INFO,Room or suite number,Room or suite number,VARCHAR2,2013-05-07 00:54:16,2013-05-07T00:54:16Z,ADDL_MAILING_INFO_16676,NULL,250.0,NULL,NULL
Applicant address that will provide services for this program,SERVICE_AREA,ADDRESS,Address,Foreign key to ADDRESS.ID,Foreign key to ADDRESS.ID,NUMBER,2013-05-07 00:54:18,2013-05-07T00:54:18Z,ADDRESS_17296,NULL,22.0,NULL,NULL
List of aldermanic ward offices,WARD_OFFICE,ADDRESS,Address,Address of the ward office,Address of the ward office,VARCHAR2,2013-05-07 00:54:19,2013-05-07T00:54:19Z,ADDRESS_17372,NULL,250.0,NULL,NULL
X coordinate low-state plane coordinates,BU50T1_ADDRESSES,ADDRESS,Address,Direction and Street Name,Direction and Street Name,VARCHAR2,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ADDRESS_17393,NULL,120.0,NULL,NULL
Address information stored as part of batch geocoding.,BU50T1_ADDRESSES_TEMP,ADDRESS,Address,Dir and Street Name,Dir and Street Name,VARCHAR2,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ADDRESS_17424,NULL,120.0,NULL,NULL
Contains all the work type information for a CPM number.,BU50T1_ADDRESS_WORK_TYPE_JN,ADDRESS,Address,Dir and Street Name,Dir and Street Name,VARCHAR2,2013-05-07 00:54:45,2013-05-07T00:54:45Z,ADDRESS_17487,NULL,120.0,NULL,NULL
Contains all CPM facility information.,BU50T1_FACILITIES,ADDRESS,Address,Dir and Street Name,Dir and Street Name,VARCHAR2,2013-05-07 00:54:46,2013-05-07T00:54:46Z,ADDRESS_17871,NULL,120.0,NULL,NULL
This table contains all the records (menu address_work_types) that we load into cpm from the menu spreadsheets that BOE and CDOT send to us.  Note that the addresses_temp table only contains the data from the current spreadsheet.,BU50T1_MENU_ADDR_WORK_TYPES_JN,ADDRESS,Address,Dir and Street Name,Dir and Street Name,VARCHAR2,2013-05-07 00:54:47,2013-05-07T00:54:47Z,ADDRESS_18059,NULL,120.0,NULL,NULL
Contains demographic information of registered clients,EPI_PERSON.DBA,Address,Address,Client home address,Client home address,TEXT,2013-05-07 01:04:49,2013-05-07T01:04:49Z,Address_20336,NULL,50.0,NULL,1234 N. Clark St
Homelessness program. If applicant leases their facility,DHS_LEASE_INFORMATION,ADDRESS1,ADDRESS1,property owner address,property owner address,VARCHAR2,2013-05-07 00:54:17,2013-05-07T00:54:17Z,ADDRESS1_16949,NULL,100.0,NULL,NULL
